sats,hdop,lat,lng,course,speed
5,0.434601034,12.924244,80.159507,3.234,20.34295
4,0.689714422,12.919914,80.159505,3.234,10.25631
4,0.229818491,12.92054631,80.158524,275.241,40.92721
8,0.195965119,12.92038765,80.157694,275.3245304,41.42326416
7,0.690098456,12.9207402,80.15724016,275.4823715,41.74361971
6,0.552370348,12.92004158,80.1562872,275.4491093,41.78039214
8,0.742288849,12.91998994,80.15566846,275.736354,41.81391526
4,0.285536641,12.920158,80.1556106,275.8154303,41.16870203
8,0.002500668,12.896792,80.15242715,275.401813,41.61993975
8,0.34694766,12.89684881,80.15239881,275.7622828,41.40085365
8,0.806566371,12.89704851,80.15237568,275.8201639,40.97144525
7,0.155763675,12.89686204,80.15231971,275.8255914,41.83546399
7,0.01852663,12.89724117,80.15228935,275.8304264,41.07448641
8,0.365546446,12.89704804,80.15228458,276.0306783,41.18149898
5,0.096693742,12.89659727,80.152195,275.7187209,41.74005225
5,0.082530729,12.89633059,80.152173,275.9660067,41.10197435
6,0.297175571,12.921187,80.15220337,182.5254,50.2457
7,0.572899516,12.92118577,80.1521679,182.5859527,59.97805023
4,0.625218939,12.92079272,80.15220281,183.4685679,54.25869462
7,0.369735419,12.92076613,80.15218846,182.8163025,55.58134694
4,0.227613553,12.92063695,80.15213664,183.1685195,58.56850511
6,0.179520933,12.92021212,80.15217963,183.4831682,58.62386591
4,0.433241199,12.91987643,80.15217407,183.3080723,54.57053235
5,0.93815138,12.91946505,80.15213158,183.3254876,57.52160425
4,0.624751015,12.91902448,80.15215219,182.8403086,51.72425194
4,0.186237422,12.91872905,80.152164,182.6859871,55.79045095
4,0.662517188,12.9182172,80.15220556,183.3440737,56.65718174
8,0.560431893,12.91776817,80.15221583,182.8191454,59.74039326
8,0.693140269,12.91728717,80.15213313,183.0692574,51.65135177
8,0.4380835,12.91710353,80.15218921,183.5012739,59.53576037
7,0.408794518,12.91679043,80.15221037,183.4813207,52.37871484
6,0.959046397,12.91646426,80.15212214,182.9635887,54.65621229
8,0.320987433,12.91643412,80.15215479,182.8731158,58.22285016
6,0.601300592,12.9155994,80.15212904,183.4474548,54.77628007
