sats,hdop,lat,lng,course,speed
5,0.395063278,12.924244,80.159507,3.234,20.34295
6,0.626316953,12.919914,80.159505,3.234,10.25631
5,0.965199743,12.92035485,80.158524,275.241,40.92721
4,0.93071532,12.92022861,80.157694,275.8668491,41.09479817
5,0.590980302,12.92073103,80.15755351,275.7164328,41.92252627
4,0.089124496,12.92013825,80.15742206,276.2169488,41.12702225
7,0.985144828,12.92068591,80.15654467,275.3979846,41.08131709
4,0.434636184,12.92082604,80.15618914,275.4153887,41.42388777
8,0.843868485,12.896792,80.15249135,275.5212675,41.51284714
8,0.407725988,12.89698386,80.15248782,275.5968831,41.23629724
6,0.411461177,12.89635016,80.1524443,275.2537545,41.11411347
8,0.889182452,12.89703732,80.1523996,275.7651832,41.24268619
6,0.537481696,12.89687692,80.15231243,275.6531213,41.18978136
8,0.364730415,12.89689747,80.15226293,276.1676827,41.33661299
6,0.408589574,12.89641009,80.15225434,276.0415085,41.43671952
5,0.748262667,12.89718931,80.152173,275.2969264,41.44290636
7,0.256491491,12.921187,80.15212346,182.5254,50.2457
4,0.230759259,12.92076244,80.15218951,182.9139875,57.70688838
7,0.537582321,12.92038605,80.15215581,182.8731986,59.55518004
4,0.637553544,12.92019925,80.1521317,182.6908925,56.89200813
5,0.543453288,12.91964236,80.15220522,183.0151231,59.70736535
8,0.862444134,12.91909688,80.15218543,183.4661171,50.57248225
6,0.667820056,12.91874939,80.15221,182.6855509,53.11147701
6,0.29821538,12.91819619,80.1522055,182.6222043,53.09953493
5,0.069023879,12.91782316,80.15221809,182.6990421,54.33031659
8,0.199491686,12.91738285,80.15221138,183.1826529,51.64028349
6,0.037902352,12.91719934,80.15213487,183.0354914,56.30825397
4,0.21241335,12.91674649,80.15215499,183.502963,55.20391265
7,0.868723685,12.91660579,80.15219419,182.7106981,51.70610239
4,0.233646249,12.91635876,80.152171,183.3939711,51.54046606
8,0.828796574,12.91633861,80.15216854,183.5164225,50.35598416
5,0.360245444,12.91618904,80.15218298,183.470317,52.11868132
6,0.514635075,12.91572257,80.1521917,183.2419864,57.56054603
6,0.933131779,12.9155994,80.15219617,183.3456989,54.91694102
