sats,hdop,lat,lng,course,speed
5,0.225760053,12.924244,80.159507,3.234,20.34295
7,0.819920669,12.919914,80.159505,3.234,10.25631
8,0.768894658,12.92040988,80.158524,275.241,40.92721
6,0.988468783,12.92018162,80.157694,275.2668936,41.74698895
4,0.15564176,12.92081209,80.15715297,275.6521252,41.34231647
8,0.686490011,12.92066511,80.15662899,275.8483656,41.40164761
5,0.791590218,12.92007497,80.15566855,276.0240714,41.69202673
6,0.86681789,12.9202526,80.15498427,276.0590639,41.32071335
4,0.137730615,12.896792,80.15246227,275.6441358,41.77879328
4,0.811646944,12.89713492,80.15242551,275.419066,41.6405814
6,0.382476966,12.89702259,80.15232658,276.0109797,41.63383774
4,0.452070375,12.89680037,80.15229657,275.2420214,41.48227443
5,0.060697053,12.89719096,80.15228086,276.0854565,41.46410811
8,0.921260342,12.89713264,80.15226329,275.7617936,41.03132522
8,0.287751119,12.89645004,80.15223504,275.5459032,41.91368939
7,0.064863804,12.89695371,80.152173,275.7800347,41.53439995
6,0.941631859,12.921187,80.15219871,182.5254,50.2457
8,0.650325537,12.9209233,80.15215521,183.5063922,54.1855514
5,0.414851484,12.92054282,80.15212796,182.5409751,52.7937018
7,0.37049569,12.92014708,80.15214434,183.3209591,57.67324229
7,0.643902168,12.92010842,80.15212891,183.4275948,52.21790478
6,0.951536968,12.9196117,80.15212483,182.9801408,55.47257351
7,0.492862288,12.91917196,80.15216947,183.0298025,57.7024665
6,0.381395836,12.91869746,80.15212622,183.3160595,54.84542756
6,0.22692189,12.91843773,80.1521449,183.5216676,58.55530606
5,0.452955158,12.91812132,80.15218296,183.4779909,50.95513321
6,0.868322894,12.91786993,80.15214213,183.5115501,52.32713479
8,0.10585744,12.91768368,80.15220043,183.1931734,58.71449683
7,0.941907325,12.91743786,80.15214859,183.1299349,59.12090988
7,0.893027673,12.91737943,80.15217239,182.8306311,57.05435629
4,0.241971557,12.91700265,80.15215204,182.7493079,59.73044116
8,0.289427593,12.91692835,80.15214496,183.1201988,53.43126071
4,0.022796122,12.91666238,80.15217578,182.6617304,56.59181971
7,0.686179996,12.9155994,80.15221044,183.4013428,54.39889524
